"mass_id","sn","dt","mg","note"
"908","383","2023-08-31 12:00:00","3795",
"909","383","2023-08-31 12:01:00","3960",
"910","386","2023-08-31 12:00:00","2829",
"911","386","2023-08-31 12:01:00","2908",
"912","387","2023-08-31 12:00:00","3661",
"913","387","2023-08-31 12:01:00","3822",
"914","392","2023-08-31 12:00:00","4654",
"915","392","2023-08-31 12:01:00","4718",
"916","397","2023-08-31 12:00:00","4259",
"917","397","2023-08-31 12:01:00","4241",
"918","399","2023-08-31 12:00:00","5028",
"919","399","2023-08-31 12:01:00","5118",
"920","400","2023-08-31 12:00:00","6253",
"921","400","2023-08-31 12:01:00","6268",
"922","403","2023-08-31 12:00:00","4382",
"923","403","2023-08-31 12:01:00","4489",
"924","409","2023-08-31 12:00:00","6460",
"925","409","2023-08-31 12:01:00","6501",
"926","416","2023-08-31 12:00:00","5153",
"927","416","2023-08-31 12:01:00","5203",
"928","420","2023-08-31 12:00:00","3331",
"929","420","2023-08-31 12:01:00","3495",
"930","423","2023-08-31 12:00:00","6035",
"931","423","2023-08-31 12:01:00","6104",
"932","426","2023-08-31 12:00:00","3717",
"933","426","2023-08-31 12:01:00","3795",
"934","431","2023-08-31 12:00:00","3083",
"935","431","2023-08-31 12:01:00","3287",
"936","433","2023-08-31 12:00:00","3926",
"937","433","2023-08-31 12:01:00","4042",
"938","437","2023-08-31 12:00:00","5885",
"939","437","2023-08-31 12:01:00","5923",
"940","441","2023-08-31 12:00:00","3968",
"941","441","2023-08-31 12:01:00","4112",
"942","444","2023-08-31 12:00:00","4566",
"943","444","2023-08-31 12:01:00","4805",
"944","445","2023-08-31 12:00:00","3517",
"945","445","2023-08-31 12:01:00","3557",
"946","446","2023-08-31 12:00:00","4626",
"947","446","2023-08-31 12:01:00","4639",
"948","449","2023-08-31 12:00:00","5721",
"949","449","2023-08-31 12:01:00","5771",
"950","451","2023-08-31 12:00:00","4234",
"951","451","2023-08-31 12:01:00","4325",
"952","454","2023-08-31 12:00:00","5268",
"953","454","2023-08-31 12:01:00","5296",
"954","466","2023-08-31 12:00:00","3193",
"955","466","2023-08-31 12:01:00","3218",
